yearstart,yearend,locationabbr,datasource,question,datavalueunit,datavaluetype,datavalue,stratificationcategory1,stratification1,:@computed_region_skr5_azej,:@computed_region_hjsp_umg2
2022,2022,CA,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,5.2,Race/Ethnicity,"White, non-Hispanic",1340.0,8.0
2022,2022,AL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,10.1,Race/Ethnicity,"White, non-Hispanic",94.0,29.0
2022,2022,CT,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,5.4,Race/Ethnicity,Hispanic,1043.0,24.0
2022,2022,AL,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,3.7,Age,Age 18-44,94.0,29.0
2021,2021,WY,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,2.19,Overall,Overall,3084.0,14.0
2021,2021,WY,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Age-adjusted Rate,367.7,Overall,Overall,3084.0,14.0
2021,2021,WI,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,131.2,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",3078.0,41.0
2021,2021,WY,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.4,Race/Ethnicity,"White, non-Hispanic",3084.0,14.0
2022,2022,HI,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,3.5,Race/Ethnicity,"White, non-Hispanic",1657.0,4.0
2021,2021,WY,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,40.75,Race/Ethnicity,Hispanic,3084.0,14.0
2021,2021,WY,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause","cases per 100,000",Crude Rate,422.4,Sex,Male,3084.0,14.0
2021,2021,WI,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,90.9,Overall,Overall,3078.0,41.0
2022,2022,CO,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,4.4,Race/Ethnicity,Hispanic,1398.0,9.0
2021,2021,WI,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Age-adjusted Rate,40.4,Race/Ethnicity,Hispanic,3078.0,41.0
2022,2022,HI,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,3.5,Overall,Overall,1657.0,4.0
2022,2022,CT,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,2.2,Age,Age 18-44,1043.0,24.0
2021,2021,WY,NVSS,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying cause","cases per 100,000",Crude Rate,32.9,Age,Age 45-64,3084.0,14.0
2022,2022,GU,BRFSS,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,3.7,Sex,Female,,
2022,2022,DC,BRFSS,Chronic obstructive pulmonary disease among adults,%,Age-adjusted Prevalence,6.9,Race/Ethnicity,"Black, non-Hispanic",1049.0,44.0
2021,2021,WI,CMS Part A Claims Data,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,76.94,Sex,Male,3078.0,41.0
