locationabbr,year,COPD_Prevalence_overall,COPD_Prevalence_sex_diff,COPD_Prevalence_race_diff,Smoking_Rate_overall,Smoking_Rate_sex_diff,Smoking_Rate_race_diff,Mortality_Underlying_overall,Mortality_Underlying_sex_diff,Mortality_Underlying_race_diff,Mortality_Any_Cause_overall,Mortality_Any_Cause_sex_diff,Mortality_Any_Cause_race_diff,Hospitalization_Any_Dx_overall,Hospitalization_Any_Dx_sex_diff,Hospitalization_Any_Dx_race_diff,Hospitalization_Principal_Dx_overall,Hospitalization_Principal_Dx_sex_diff,Hospitalization_Principal_Dx_race_diff,COPD_Prevalence_yoy_change,Smoking_Rate_yoy_change,Mortality_Underlying_yoy_change,Mortality_Any_Cause_yoy_change,Hospitalization_Any_Dx_yoy_change,Hospitalization_Principal_Dx_yoy_change,Smoking_vs_Prevalence_Diff,Mortality_Any_vs_Underlying_Diff
NV,2021,61.0,-19.0,-0.3037037037037037,370.0,95.0,-84.79245283018868,1.1159999999999999,-0.07299999999999995,-0.45600000000000007,2.613,0.41800000000000015,-0.685,87.8,-9.239999999999995,70.80999999999999,3.92,-0.94,5.01,-4.0,88.0,-0.12100000000000022,0.1469999999999998,2.4599999999999937,-0.6900000000000004,309.0,1.497
NV,2022,65.0,-10.0,5.0,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,4.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
NY,2019,52.0,-21.0,0.0,371.0,49.0,-194.0,0.7440000000000001,0.14300000000000013,-0.383,1.462,0.43899999999999983,-0.5820000000000003,104.32,12.5,37.120000000000005,11.21,-0.5300000000000011,7.48,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.7179999999999999
NY,2020,44.0,-5.0,-3.0,307.0,-82.0,-89.0,0.6779999999999999,0.13700000000000012,-0.2919999999999999,1.631,0.554,-0.44799999999999995,85.11,12.689999999999998,34.760000000000005,6.14,-0.29000000000000004,5.0600000000000005,-8.0,-64.0,-0.06600000000000017,0.16900000000000004,-19.209999999999994,-5.070000000000001,263.0,0.9530000000000001
NY,2021,49.0,-4.0,-16.0,330.0,53.0,-176.0,0.609,0.09799999999999998,-0.344,1.473,0.43599999999999994,-0.6019999999999999,90.15,9.629999999999995,39.61,6.31,-0.5199999999999996,6.539999999999999,5.0,23.0,-0.06899999999999995,-0.15799999999999992,5.040000000000006,0.16999999999999993,281.0,0.8640000000000001
NY,2022,46.0,0.0,-20.0,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,-3.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
OH,2019,81.0,-20.0,-16.0,473.0,20.0,-284.0,1.274,0.18900000000000006,-0.42300000000000004,2.602,0.7889999999999997,-0.6179999999999999,138.29,15.550000000000011,71.08999999999997,12.59,-1.1799999999999997,9.91,0.0,0.0,0.0,0.0,0.0,0.0,392.0,1.3279999999999998
OH,2020,71.0,-12.0,-14.0,501.0,-39.0,-249.0,1.234,0.2470000000000001,-0.32599999999999996,2.8369999999999997,0.9769999999999999,-0.34399999999999986,122.73,17.179999999999993,80.75999999999999,7.92,-0.16999999999999904,8.07,-10.0,28.0,-0.040000000000000036,0.23499999999999988,-15.559999999999988,-4.67,430.0,1.6029999999999998
OH,2021,78.0,-16.0,-9.0,462.0,1.0,-225.0,1.155,0.19700000000000006,-0.2959999999999998,2.7860000000000005,0.9289999999999998,-0.39400000000000013,128.86,12.810000000000016,100.47999999999999,7.7,-1.21,11.61,7.0,-39.0,-0.07899999999999996,-0.05099999999999927,6.13000000000001,-0.21999999999999975,384.0,1.6310000000000004
OH,2022,85.0,-14.0,29.0,392.02515723270443,8.953333333333333,-84.79245283018868,1.0780064102564104,0.18850000000000003,-0.40193805309734515,2.453153846153846,0.7915128205128206,-0.5061056910569106,80.58839743589745,8.322179487179486,41.799090909090914,5.83576923076923,-0.6416025641025641,4.654876033057851,7.0,0.0,0.0,0.0,0.0,0.0,331.4842767295597,1.375147435897436
