locationabbr,year,COPD_Prevalence_overall_z,COPD_Prevalence_sex_diff_z,COPD_Prevalence_race_diff_z,Smoking_Rate_overall_z,Smoking_Rate_sex_diff_z,Smoking_Rate_race_diff_z,Mortality_Underlying_overall_z,Mortality_Underlying_sex_diff_z,Mortality_Underlying_race_diff_z,Mortality_Any_Cause_overall_z,Mortality_Any_Cause_sex_diff_z,Mortality_Any_Cause_race_diff_z,Hospitalization_Any_Dx_overall_z,Hospitalization_Any_Dx_sex_diff_z,Hospitalization_Any_Dx_race_diff_z,Hospitalization_Principal_Dx_overall_z,Hospitalization_Principal_Dx_sex_diff_z,Hospitalization_Principal_Dx_race_diff_z,COPD_Prevalence_yoy_change_z,Smoking_Rate_yoy_change_z,Mortality_Underlying_yoy_change_z,Mortality_Any_Cause_yoy_change_z,Hospitalization_Any_Dx_yoy_change_z,Hospitalization_Principal_Dx_yoy_change_z,Smoking_vs_Prevalence_Diff_z,Mortality_Any_vs_Underlying_Diff_z
PR,2021,-0.809086270577486,-0.39262466740703894,-9.340164453865598e-18,-3.383951697874717,0.0,0.0,0.0,3.0646344785661155e-16,5.060717925350181e-16,0.0,0.0,2.1861564096451463e-16,6.191698820370289e-16,0.0,0.0,-3.64753920184986e-16,0.0,0.0,-0.8702546651377565,-0.038962098330843915,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,-3.49147530946665,5.714206248188894e-16
PR,2022,-0.7511590501346683,1.0225232837416702,-9.340164453865598e-18,0.0,0.0,0.0,0.0,3.0646344785661155e-16,5.060717925350181e-16,0.0,0.0,2.1861564096451463e-16,6.191698820370289e-16,0.0,0.0,-3.64753920184986e-16,0.0,0.0,0.14274018317074313,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,-8.051929157166427e-16,5.714206248188894e-16
RI,2019,0.05982203606477914,1.0225232837416702,-0.8242537533782952,-1.2236377196987962,-1.7513235978921953,0.0,-0.5443066266024782,-1.4077924429611057,5.060717925350181e-16,-0.23906362240413837,-0.9175868976849844,-1.5928056246342657,1.8953738299233769,0.10270163979345417,-0.7609325914939832,4.038686535855975,-4.160552895883749,1.178316978035004,-0.0598587864909568,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,-1.3525446696517744,-0.005526318293954787
RI,2020,0.05982203606477914,0.25062440129691976,-9.340164453865598e-18,2.3031399193715325,0.805195313223468,0.0,-1.0215388196327335,-0.6459282973586258,5.060717925350181e-16,-0.029259707901274825,0.8659058294714314,-2.183540016145356,0.9189654903457122,0.08854483713573588,-0.5266062836732818,1.2050193430343474,0.0028759317166770068,-1.3262513747049065,-0.0598587864909568,5.1515536878336095,-1.8438586170762896,0.5101094115441764,-3.155031755816475,-4.0887484998461225,2.486198399155055,0.6223954116795491
RI,2021,-0.5194501683633976,1.5371225387048373,-9.340164453865598e-18,0.012686544919953711,1.6097850212903266,0.0,-1.3488964396452232,-1.7279962143012808,5.060717925350181e-16,-0.32434976651099334,-0.6339470904745679,-1.543577758675008,1.1555517145271808,-0.17234481184223943,-1.062452906069676,1.2707275677954286,-2.922291735950864,-1.7023367184070664,-2.085848483107956,-3.0180257361646676,-1.1298203532835458,-1.7272668179807655,1.2642422537714733,0.6600002532372583,0.1347912057161854,0.3907849375089952
RI,2022,0.0018948156219614643,0.8938734700008785,-9.340164453865598e-18,0.0,0.0,0.0,0.0,3.0646344785661155e-16,5.060717925350181e-16,0.0,0.0,2.1861564096451463e-16,6.191698820370289e-16,0.0,0.0,-3.64753920184986e-16,0.0,0.0,1.7635319404643426,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,-8.051929157166427e-16,5.714206248188894e-16
SC,2019,0.7549486813785913,-0.6499242948886225,-1.0485970128663393,0.9496901981046905,-0.07725791497889298,-1.285819098319293,0.4614306397009528,-0.08281132017418472,-1.5090761873338578,-0.03608259942982325,-0.29873640922588957,-1.1005269650416902,0.20354269088720003,0.3817928921885041,-0.6562190885813843,1.0366420170840767,-0.625227555205802,-0.6500979376233645,-0.0598587864909568,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,0.843046384462833,-0.35551547926279425
SC,2020,0.6390942404929559,0.5079240287785033,-0.9364253831223173,0.03871442417508529,-1.2581879703673466,-1.60644206802488,0.4456543688569774,1.4077924429611082,-0.5153690823142831,0.43299119315788054,0.7197883530297036,-0.6574761714083723,-0.25045886638184367,0.5456073229421151,-0.37345852208449654,-0.33912393885106135,1.097570580352998,-0.7141124642109665,-0.46505672581435664,-1.0807205483708928,0.35462761618032024,1.65903234021915,-1.2517596518308607,-1.7009215772617028,-0.1201806586326077,0.36247699066592587
SC,2021,0.4073853587216852,-0.006675226184663714,-0.5438246790182402,-1.0674704441680067,-0.18107594182622958,-0.5804485649670015,0.3549408115041184,0.7894679189938761,-0.38773697708241167,0.5182773372647362,0.3716849532714612,-0.8248509156698487,-0.16506126059995088,-0.2249272217137707,-0.21894641518088934,-0.5896365457526833,0.2182256986615284,-0.7861288066220185,-0.8702546651377565,-1.3548675089077475,-0.002391515716054707,-0.041675942358931746,0.7134203854787226,0.14207723059218733,-1.2675540482021768,0.550338819715377
SC,2022,0.4073853587216852,-0.006675226184663714,-0.20730978978617406,0.0,0.0,0.0,0.0,3.0646344785661155e-16,5.060717925350181e-16,0.0,0.0,2.1861564096451463e-16,6.191698820370289e-16,0.0,0.0,-3.64753920184986e-16,0.0,0.0,-0.0598587864909568,0.19863193413443037,0.4297895386848198,-0.4196111162651748,0.4022933359531351,0.5523798848954252,-8.051929157166427e-16,5.714206248188894e-16
