locationabbr,year,COPD_Prevalence_overall_z,COPD_Prevalence_sex_diff_z,COPD_Prevalence_race_diff_z,Smoking_Rate_overall_z,Smoking_Rate_sex_diff_z,Smoking_Rate_race_diff_z,Mortality_Underlying_overall_z,Mortality_Underlying_sex_diff_z,Mortality_Underlying_race_diff_z,Mortality_Any_Cause_overall_z,Mortality_Any_Cause_sex_diff_z,Mortality_Any_Cause_race_diff_z,Hospitalization_Any_Dx_overall_z,Hospitalization_Any_Dx_sex_diff_z,Hospitalization_Any_Dx_race_diff_z,Hospitalization_Principal_Dx_overall_z,Hospitalization_Principal_Dx_sex_diff_z,Hospitalization_Principal_Dx_race_diff_z,COPD_Prevalence_yoy_change_z,Smoking_Rate_yoy_change_z,Mortality_Underlying_yoy_change_z,Mortality_Any_Cause_yoy_change_z,Hospitalization_Any_Dx_yoy_change_z,Hospitalization_Principal_Dx_yoy_change_z,Smoking_vs_Prevalence_Diff_z,Mortality_Any_vs_Underlying_Diff_z
SC,2019,0.7480540284549795,-0.6439887888729056,-1.126810403927998,0.9410170465880453,-0.07655234846487685,-1.2740762121812914,0.4572165729868443,-0.08205503656864915,-1.495294380962656,-0.03575307107142478,-0.29600816569349814,-1.0904762799498475,0.20168381459081045,0.3783061260741044,-0.6502260946611146,1.0271747683953631,-0.6195175949161164,-0.6441608457960313,-0.07499241092667684,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,0.8353471694529293,-0.35226869454888177
SC,2020,0.6332576411553269,0.5032853560099179,-1.0110839300110683,0.0383608603840508,-1.2466974285830952,-1.5917710569030437,0.4415843806936116,1.3949356216670095,-0.5106624167650058,0.42903685285708915,0.713214805721116,-0.6514716970391637,-0.2481715228869312,0.5406245032921787,-0.370047870533406,-0.33602685170575153,1.0875468947736253,-0.7075907525892322,-0.46531435695468154,-1.0675960578517893,0.35989139015404975,1.6388554561020077,-1.2347977325501558,-1.680004988216967,-0.11908309538116944,0.35916662917370745
SC,2021,0.40366486655602163,-0.006614263938003691,-0.6060412713018151,-1.0577216514350853,-0.1794222456181268,-0.5751475537934363,0.3516992750075229,0.7822580152877737,-0.3841959259506293,0.513544111753183,0.368290499035107,-0.8173178728054228,-0.1635538202519628,-0.22287304880766426,-0.21694686265662413,-0.5842516243211782,0.21623272816115421,-0.7789493977315832,-0.8556363029826864,-1.3393386320869842,0.005526163380481894,-0.04907501556513547,0.7153596176614112,0.15134371645275096,-1.2559779696688458,0.5453127891441352
SC,2022,0.40366486655602163,-0.006614263938003691,-0.2588618495510266,0.0,0.0,2.257357641054741e-16,0.0,3.0366463628323904e-16,0.0,-7.505752365952164e-16,4.727690210316963e-16,0.0,6.135152441222987e-16,0.0,0.0,0.0,1.9741898968474384e-16,0.0,-0.07499241092667684,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-7.978394017264205e-16,0.0
SD,2019,-0.5147062318411993,0.2483355460359571,1.2848219590125777e-17,1.4052402280643854,0.09061123440915435,2.257357641054741e-16,0.7307799381184173,3.812824032556489,0.0,0.4881919340843548,2.339894869351418,0.0,-0.4847557118867417,1.416342168036617,-1.1024317205753178,-0.17325650900711084,2.5812283232521445,0.0,-0.07499241092667684,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,1.6494200423996606,0.25971868069635645
SD,2020,-0.2277152635920678,2.542883835801604,1.2848219590125777e-17,2.2176307956479806,2.5466300289429977,2.257357641054741e-16,-0.23841598406201195,2.25924867352343,0.0,1.1659401504310247,3.7451420447388553,0.0,-0.9721709479830662,0.35626288966177166,-1.3663873213518445,-1.084770428119498,0.5896530852807836,0.0,0.900812454143335,1.3418547670336065,-4.190904153674896,2.584096520235612,-1.3718443314745545,-0.9381082501938335,2.4634929153463916,1.914634541255356
SD,2021,-0.39990984454154677,0.2483355460359571,1.2848219590125777e-17,0.9152268698393597,-1.2209799542947828,2.257357641054741e-16,0.30871074620113326,0.47591921209815596,0.0,0.8515731473375564,2.812568919254466,0.0,-0.9259765899119354,-0.2629516604664478,-0.6228504177559948,-1.1498785651989545,0.42961578937237094,0.0,-0.660475329968684,-1.629197377937859,3.0456067930694912,-1.8195265325137913,0.5751625222100151,0.45211266429996694,1.0879904748501907,1.0833516898805728
SD,2022,0.11667389830689007,-1.2813633138078075,1.2848219590125777e-17,0.0,0.0,2.257357641054741e-16,0.0,3.0366463628323904e-16,0.0,-7.505752365952164e-16,4.727690210316963e-16,0.0,6.135152441222987e-16,0.0,0.0,0.0,1.9741898968474384e-16,0.0,1.6814563461993446,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-7.978394017264205e-16,0.0
TN,2019,1.609026933202374,-1.0264135038338467,-0.43245156042642086,1.5857714653051842,-0.012258662744095618,0.37793698037182066,1.5671022258063683,0.005470335771246515,-2.0643935896273518,1.1338273920505082,0.7515397286862274,-1.8728800032706665,1.6237792864254368,0.42239259889876696,-0.9783962462027372,2.3578223199567505,-0.850682577894935,-1.3299967129975137,-0.07499241092667684,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,1.3265980410587153,0.6881098433680225
TN,2020,1.4368323522528952,-1.4088382187947879,-0.9532206930526036,0.6057447488551331,-1.7739056514935012,2.257357641054741e-16,1.3365273894811849,0.37745316821577757,-1.070728304657247,1.3180532164439929,0.811156275520845,-1.3070518741857844,0.9213660099606715,0.3843179178229194,-0.8056929017766103,0.35981636333093686,0.10954119755554467,-1.7303979996295922,-0.660475329968684,-1.1762930875458673,-0.6659026873483797,0.3935378636720285,-2.156317966696978,-2.7226706740873183,0.3019890802809329,1.1165010060396907
TN,2021,1.8386197078016795,0.3758104510229375,0.5512234678674801,-0.24533108385149033,-1.0538163714207516,2.257357641054741e-16,1.3638837259943417,-0.7931986868302607,-1.6940274379566775,1.5850961545556488,0.6152733359213849,-1.8182483218417804,0.9597893545245088,-0.18880622889769433,-0.6617171195348688,0.013929385096325814,-0.40613453370489566,-1.6233600319160664,1.2911344001713398,-0.9951313713890706,0.5650502056545331,0.7611316108350952,0.5468080534670338,-0.009066389065764593,-0.7226198804968496,1.501543062964821
TN,2022,2.5847962252494217,-2.04621274372969,-0.5481780343433503,0.0,0.0,2.257357641054741e-16,0.0,3.0366463628323904e-16,0.0,-7.505752365952164e-16,4.727690210316963e-16,0.0,6.135152441222987e-16,0.0,0.0,0.0,1.9741898968474384e-16,0.0,2.462100238255354,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-7.978394017264205e-16,0.0
TX,2019,-0.5721044254910257,-0.006614263938003691,-0.08527213867563226,-0.8127149723225726,0.489232085877998,-0.9881508519317143,0.007791044556403362,0.14769906582356665,-0.7229454549177102,-0.3551905096986574,-0.3087831400152026,-0.5714753063754393,0.7275223952509725,-0.37116391194516546,0.591142563024138,1.1655295596892075,-0.8329006561273339,0.8345488563204575,-0.07499241092667684,0.20053595524578743,0.4344945957905899,-0.4241706759356143,0.4066109580156389,0.559052734645644,-0.750691358874323,-0.5409648019161626
TX,2020,-0.6869008127906783,0.12086064104897669,-1.7633060104711102,-0.8385051490712582,0.489232085877998,2.257357641054741e-16,-0.28531256094171015,0.6619106283204227,-0.3932292467230853,-0.04420379696103395,0.16814923466174414,-0.18905353637324432,0.09979719305074616,-0.40723466243807277,0.6648203107440902,-0.3441653688406834,0.1451050410907484,0.11303366654780078,-0.46531435695468154,0.16430361201442809,-0.9643155098945361,0.9561813542277383,-1.8838000171116775,-1.9206201464947397,-0.750691358874323,0.11947157386932283
